kind,source_page_key,source_page_url,original_url,local_path,mime_type,bytes,sha256,width,height,note
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict3-4.jpg,images/user-manual/user-manual_asset-005_pict3-4.jpg,image/jpeg,5468,b01b35aeb88dc971cabdd198dd15ad2b256ff7f65141615d0f37ba7df9c2ef69,281,114,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict3-6.jpg,images/user-manual/user-manual_asset-006_pict3-6.jpg,image/jpeg,4251,636d7c6fb688814cb7d2f903179c1945f389bead3d05c60ac22dac0dcc934159,165,157,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict3-5.jpg,images/user-manual/user-manual_asset-007_pict3-5.jpg,image/jpeg,2543,7650ba8a7bdc1a0a2f0619793a4dbe5ddb8b770669dc223bd1f2adcb493fcdbb,150,100,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-1.jpg,images/user-manual/user-manual_asset-008_pict4-1.jpg,image/jpeg,3058,45722f6c22d8baa349c0f35dc311c44a523b1e04e9eaf8a275b25f7002680043,145,82,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-2.jpg,images/user-manual/user-manual_asset-009_pict4-2.jpg,image/jpeg,2293,a315731e8ace83bef6d32c7bf17d83759705e474b41cf5228ad8f0e35987170f,126,83,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-3.jpg,images/user-manual/user-manual_asset-010_pict4-3.jpg,image/jpeg,1435,903672604a7f2e660ffee09b28daf05bca33cf0d64e4b9a10fadfa1ea47b7482,122,76,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-4.jpg,images/user-manual/user-manual_asset-011_pict4-4.jpg,image/jpeg,1655,d7fdbedb6bbd0c44c26706a28a45b1e4c44d835ba6ba70e466c7b8f8bff38f79,127,85,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-5.jpg,images/user-manual/user-manual_asset-012_pict4-5.jpg,image/jpeg,1967,213229dcd8b22a51652bdf5225a0895c08650ce52662fba8cec1f320e262a803,138,85,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-6.jpg,images/user-manual/user-manual_asset-013_pict4-6.jpg,image/jpeg,1715,5e18ac5ae998175241a0162f2697015764219f9c5fabc9b75fea014313812df5,125,84,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-7.jpg,images/user-manual/user-manual_asset-014_pict4-7.jpg,image/jpeg,3508,14140c2cda84dbb7da3e86579dfd1feb2672e401f9836ece1cdbf4f3ab57e79f,158,106,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-8.jpg,images/user-manual/user-manual_asset-015_pict4-8.jpg,image/jpeg,3244,f1a28ea76ff7b850da0b8c3c5f38bbbee8cdcc3563936a790eccb166bc16c4ad,157,103,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-9.jpg,images/user-manual/user-manual_asset-016_pict4-9.jpg,image/jpeg,2568,a120b87f6d03ff831d8ae53fce84e282b12602af07bd77a91922263625517c00,158,109,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-10.jpg,images/user-manual/user-manual_asset-017_pict4-10.jpg,image/jpeg,5928,27e2622965c23afd96b263d90feca415f2c3c5bd24f6db0e946c8388d81434b3,458,99,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-11.jpg,images/user-manual/user-manual_asset-018_pict4-11.jpg,image/jpeg,2931,9d58d05ece54296ad9c216aec7221a296f203a9f6097e0aaea3a72f9d7597ae4,156,113,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-12.jpg,images/user-manual/user-manual_asset-019_pict4-12.jpg,image/jpeg,4749,5f0e8394bec2baad283aa77e73f5223d107c43bbbc4b8109290030e38e0fa730,158,180,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-13.jpg,images/user-manual/user-manual_asset-020_pict4-13.jpg,image/jpeg,5079,3990590560dc28c854b6b3e3baef82d676f38865e3f9a9388bdc22a7bd7d4b16,160,236,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-14.jpg,images/user-manual/user-manual_asset-021_pict4-14.jpg,image/jpeg,3385,82f4cbc61d7aabd54265200ad268dd40a5d3d009641341acae587c872a4a79bf,161,119,inline image
