note_id,section,title,body,score,date_local
tonight_score,tonight,Poor,Astronomical dark 02:02 to 04:27. Moon illumination 91%.,poor,2026-01-01
moon_summary,moon,91%,"Moon rises 16:41, sets 02:02. Use moon-free windows first for deep sky.",info,2026-01-01
