target,best_datetime_utc,best_datetime_local,best_altitude_deg,best_apmag,solar_elong_deg,score,rating
4;,2026-11-05T12:00:00,2026-11-05T22:00:00+10:00,66.92,6.786,149.686,6,excellent
2;,2026-11-04T12:00:00,2026-11-04T22:00:00+10:00,82.28,8.565,137.487,5,excellent
3;,2026-08-19T12:00:00,2026-08-19T22:00:00+10:00,69.86,9.222,149.174,5,excellent
7;,2026-03-19T12:00:00,2026-03-19T22:00:00+10:00,60.56,9.373,154.084,5,excellent
15;,2026-04-08T12:00:00,2026-04-08T22:00:00+10:00,77.29,10.0,156.38,5,excellent
1;,2026-08-30T00:00:00,2026-08-30T10:00:00+10:00,29.73,8.933,60.462,2,fair
