month,window_count,excellent_count,best_altitude_deg
2026-01,17,10,35.97
2026-02,19,19,65.18
2026-03,22,22,88.5
2026-04,22,22,88.55
2026-05,25,24,88.55
2026-06,24,24,88.55
2026-07,24,24,88.55
2026-08,23,22,88.55
2026-09,20,20,88.55
2026-10,21,21,72.79
2026-11,16,16,42.07
