date,moon_phase_index,moon_illumination_fraction
2027-01-01,22.589,0.4531471156174623
2027-01-02,23.444555555555553,0.363803645471525
2027-01-03,24.37788888888889,0.27156956997927967
2027-01-04,25.233444444444444,0.194826534942508
2027-01-05,26.089,0.12816811048193671
2027-01-06,26.866777777777777,0.07818171055259243
2027-01-07,27.72233333333333,0.03655200636702338
2027-01-08,0.5778888888888889,0.0037748265870695685
2027-01-09,1.4334444444444445,0.023075341738515887
2027-01-10,2.289,0.05813607199204657
2027-01-11,3.1445555555555558,0.10779841788994848
2027-01-12,4.000111111111111,0.17042126224470144
2027-01-13,4.855666666666666,0.24393520168149796
2027-01-14,5.711222222222223,0.3259109311131388
2027-01-15,6.644555555555556,0.42180095644903964
2027-01-16,7.655666666666668,0.5290286711629395
2027-01-17,8.589,0.6269325281569588
2027-01-18,9.600111111111111,0.7272482806899407
2027-01-19,10.689,0.8234409312316604
2027-01-20,11.700111111111111,0.8973827920826103
2027-01-21,12.789000000000001,0.9564437793443654
2027-01-22,13.87788888888889,0.9911139425752732
2027-01-23,14.966777777777779,0.9995406245834656
2027-01-24,16.055666666666667,0.9812735317570527
2027-01-25,17.144555555555556,0.9372887962438405
2027-01-26,18.155666666666665,0.875452433886432
2027-01-27,19.16677777777778,0.7963062509926162
2027-01-28,20.10011111111111,0.7110290056956254
2027-01-29,21.033444444444445,0.6174570058260395
2027-01-30,21.96677777777778,0.5192682139048245
2027-01-31,22.822333333333333,0.42850120100223454
2027-02-01,23.67788888888889,0.34009690185794206
2027-02-02,24.533444444444445,0.2569766809816828
2027-02-03,25.389000000000003,0.18188728786029862
2027-02-04,26.16677777777778,0.12268743587033198
2027-02-05,27.022333333333336,0.06952912167165526
2027-02-06,27.87788888888889,0.030595934062927987
2027-02-07,0.7334444444444445,0.006075869605998541
2027-02-08,1.589,0.028304961314366994
2027-02-09,2.5223333333333335,0.07029292606802723
2027-02-10,3.377888888888889,0.12367183810938481
2027-02-11,4.311222222222223,0.19601426467825722
2027-02-12,5.244555555555556,0.2803052243871684
2027-02-13,6.17788888888889,0.3732315574116234
2027-02-14,7.189000000000001,0.4794047990790715
2027-02-15,8.122333333333334,0.5783665871172253
2027-02-16,9.133444444444445,0.6819794891728386
2027-02-17,10.222333333333335,0.7840504514816093
2027-02-18,11.311222222222222,0.8709427107572869
2027-02-19,12.322333333333333,0.9339628292569153
2027-02-20,13.411222222222223,0.9793921336973027
2027-02-21,14.50011111111111,0.9992043310504191
2027-02-22,15.511222222222221,0.9937159820573412
2027-02-23,16.60011111111111,0.9623800532630054
2027-02-24,17.611222222222224,0.9111018599670597
2027-02-25,18.544555555555558,0.8468767752140145
2027-02-26,19.47788888888889,0.7690172722545765
2027-02-27,20.41122222222222,0.6805837145969
2027-02-28,21.26677777777778,0.5931938232196728
2027-03-01,22.122333333333334,0.5027242951017465
2027-03-02,22.97788888888889,0.41216474128256664
2027-03-03,23.833444444444446,0.32450774774613694
2027-03-04,24.611222222222224,0.24977907063618893
2027-03-05,25.46677777777778,0.17554745823427764
2027-03-06,26.322333333333333,0.11203754319078235
2027-03-07,27.255666666666666,0.05743713996608507
2027-03-08,0.11122222222222433,0.0001399968954812758
2027-03-09,1.0445555555555557,0.012297879690393865
2027-03-10,1.900111111111111,0.04030789850855998
2027-03-11,2.911222222222222,0.09289146958149602
2027-03-12,3.844555555555555,0.1581593465205589
2027-03-13,4.777888888888889,0.23686369070828572
2027-03-14,5.789000000000001,0.3336910145241271
2027-03-15,6.800111111111112,0.43818583076338974
2027-03-16,7.811222222222223,0.5455305211265646
2027-03-17,8.822333333333333,0.6507760770095821
2027-03-18,9.833444444444446,0.7490702680893322
2027-03-19,10.922333333333334,0.8419644305817473
2027-03-20,11.933444444444445,0.911952483125243
2027-03-21,12.944555555555556,0.9629479206026659
2027-03-22,14.033444444444445,0.9939504669687094
2027-03-23,15.044555555555556,0.9991176334755516
2027-03-24,16.055666666666667,0.9812735317570527
2027-03-25,16.989,0.9450720577571925
2027-03-26,17.922333333333334,0.8913764792192085
2027-03-27,18.855666666666668,0.8222973668873346
2027-03-28,19.711222222222222,0.747770521092554
2027-03-29,20.566777777777776,0.665055973863739
2027-03-30,21.422333333333334,0.5768870689981027
2027-03-31,22.27788888888889,0.48617739228310153
2027-04-01,23.133444444444443,0.3959244905893047
2027-04-02,23.91122222222222,0.31678419503534416
2027-04-03,24.844555555555555,0.2286051713039131
2027-04-04,25.700111111111113,0.15706790473647608
2027-04-05,26.633444444444443,0.09202380405385979
2027-04-06,27.566777777777776,0.043015709443864014
2027-04-07,0.5001111111111111,0.002827995565703567
2027-04-08,1.4334444444444445,0.023075341738515887
2027-04-09,2.4445555555555556,0.06612145271678893
2027-04-10,3.4556666666666667,0.12917105577614163
