month,window_count,excellent_count,best_altitude_deg
2027-01,8,4,32.08
2027-02,21,21,62.63
2027-03,22,22,88.5
2027-04,24,23,88.55
2027-05,26,26,88.55
2027-06,27,27,88.55
2027-07,25,25,88.55
2027-08,24,23,88.55
2027-09,20,20,88.55
2027-10,20,20,73.04
2027-11,13,8,42.33
