target,best_datetime_utc,best_datetime_local,best_altitude_deg,best_apmag,solar_elong_deg,score,rating
3;,2027-12-31T12:00:00,2027-12-31T22:00:00+10:00,37.98,7.917,151.717,5,excellent
15;,2027-07-01T12:00:00,2027-07-01T22:00:00+10:00,86.03,9.74,153.136,5,excellent
7;,2027-06-15T12:00:00,2027-06-15T22:00:00+10:00,84.2,9.966,155.191,5,excellent
4;,2027-01-01T12:00:00,2027-01-01T22:00:00+10:00,29.96,7.879,95.637,4,good
1;,2027-12-27T00:00:00,2027-12-27T10:00:00+10:00,51.9,8.775,60.164,4,good
2;,2027-11-02T00:00:00,2027-11-02T10:00:00+10:00,49.9,8.87,60.335,3,good
