id,name,peak_date_local,radiant_alt_peak_deg,radiant_alt_predawn_deg,moon_illumination_fraction,zhr,score,rating,notes
quadrantids,Quadrantids,2027-01-03,-60.18,-6.01,0.272,120.0,3,fair,Short peak window; weather sensitive.
eta_aquariids,Eta Aquariids,2027-05-06,-43.2,33.6,0.0,50.0,4,good,Often favorable from southern latitudes pre-dawn.
perseids,Perseids,2027-08-12,-35.52,1.97,0.763,100.0,1,poor,High northern radiant; can be modest in SE QLD.
orionids,Orionids,2027-10-21,-9.14,47.39,0.748,20.0,1,poor,Halley stream; best after midnight.
geminids,Geminids,2027-12-14,9.71,22.71,1.0,120.0,2,fair,"Strong annual shower, geometry varies by hemisphere."
